,Boundary thickness \( \uparrow\),Boundary thickness \( \uparrow\),Margin decision \( \uparrow\),Margin decision \( \uparrow\),Model smoothness \( \downarrow\),Model smoothness \( \downarrow\)
\diagbox{Models}{Robust},\xmark,\cmark,\xmark,\cmark,\xmark,\cmark
MLP\_BN,0.3520947396755218,0.8144395351409912,0.9420821666717528,0.9188560247421264,15.65235710144043,1.4320313930511477
MLP\_FN,0.308147519826889,1.312692403793335,0.9355136156082152,0.8987318277359009,15.3411226272583,1.588475465774536
MLP\_FN\_AGC,0.3565718233585357,1.7071441411972046,0.938675045967102,0.890805721282959,15.62160587310791,1.5639742612838743
MLP\_LN,0.2943035066127777,0.9509769082069396,0.9399083256721495,0.8860117793083191,15.36919403076172,1.479545831680298
MLP\_NoNorm,0.3776463270187378,0.7319559454917908,0.9352149963378906,0.9104141592979432,15.671883583068848,
